blind_id,run_id,policy_id,model_family,prompt_strategy,prompt_set,strategy,corpus,flesch_reading_ease,word_compression_ratio,gemini_support_rate,gemini_weighted_alignment,coverage_weighted_rate,omission_rate,distortion_rate,hallucination_rate,minicheck_mean_probability
S087,a70a1070-f34f-40a3-862a-69001c3ee4c8,OPP05,gpt,safety_focused_direct,safety_focused,direct,OPP-115,33.07,0.5127,1.0,1.0,1.0,0.0,0.0,0.0,0.9268907979130745
S364,687423f0-6cfc-4295-ab24-0ffc7ba51916,OPP05,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,30.05,0.4236,1.0,1.0,0.9705882352941176,0.0294117647058823,0.0,0.0,0.9146269147352475
S484,764108b6-a0fe-4782-9faa-3e292e0e6579,OPP05,gpt,safety_focused_structured,safety_focused,structured,OPP-115,32.8,0.4266,1.0,1.0,1.0,0.0,0.0,0.0,0.9194154757196489
S065,934af2d4-aec9-4f1e-8d59-9461cdf202ae,OPP05,llama,basic_direct,basic,direct,OPP-115,42.24,0.1464,1.0,1.0,0.4411764705882353,0.4705882352941176,0.0,0.0,0.8382085313399633
S242,85d0429e-2745-412d-bfc5-26b0a73265a2,OPP05,llama,basic_role_guided,basic,role_guided,OPP-115,43.36,0.1159,1.0,1.0,0.3676470588235294,0.5,0.0,0.0,0.6837733549376329
S015,ecbd7c43-ce29-47ce-b601-f92338ee0820,OPP05,llama,basic_structured,basic,structured,OPP-115,38.12,0.1218,1.0,1.0,0.3088235294117647,0.5,0.0,0.0,0.7905280773217479
S299,d6307ed5-2cf3-455d-bead-01c17dc48a01,OPP05,llama,safety_focused_direct,safety_focused,direct,OPP-115,32.64,0.1401,1.0,1.0,0.6323529411764706,0.2941176470588235,0.0,0.0,0.8764710025145457
S191,c55c7761-1e48-4688-ad97-664996f7df96,OPP05,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,36.38,0.1982,0.9411764705882353,0.9705882352941176,0.3235294117647059,0.5294117647058824,0.058823529411764705,0.0,0.9230096515487222
S283,42481ac5-fb1e-497f-b51e-c46425bd8952,OPP05,llama,safety_focused_structured,safety_focused,structured,OPP-115,37.39,0.132,1.0,1.0,0.5,0.4411764705882353,0.0,0.0,0.8966810112552983
S443,034e794d-878f-427c-866e-385b7433e413,OPP05,mistral,basic_direct,basic,direct,OPP-115,43.56,0.1914,1.0,1.0,0.6323529411764706,0.3235294117647059,0.0,0.0,0.9276905091185319
S256,8afa6e8f-a04b-4172-9586-96bc60c89456,OPP05,mistral,basic_role_guided,basic,role_guided,OPP-115,52.26,0.2016,1.0,1.0,0.7647058823529411,0.1764705882352941,0.0,0.0,0.8720099913577238
S032,71b37375-0491-4b1e-b0ba-e66bb544df76,OPP05,mistral,basic_structured,basic,structured,OPP-115,46.19,0.1418,1.0,1.0,0.6470588235294118,0.3235294117647059,0.0,0.0,0.7899978816509247
S162,6be58938-a7e8-44f2-8a3f-a401078b6604,OPP05,mistral,safety_focused_direct,safety_focused,direct,OPP-115,40.0,0.1668,1.0,1.0,0.6029411764705882,0.2352941176470588,0.0,0.0,0.7820402383804321
S468,e09395f1-c805-4ab1-bc06-c4e75b041b09,OPP05,mistral,safety_focused_role_guided,safety_focused,role_guided,OPP-115,49.29,0.2008,0.9545454545454546,0.9772727272727273,0.7794117647058824,0.1764705882352941,0.045454545454545456,0.0,0.862671446563168
S257,066178fd-2bd1-41d2-a1ff-89fb170a8678,OPP05,mistral,safety_focused_structured,safety_focused,structured,OPP-115,48.41,0.2165,1.0,1.0,0.8088235294117647,0.1470588235294117,0.0,0.0,0.8200653025313563
S294,f3b4db5a-22b7-4b20-a2b2-23e0e89e209e,OPP06,gpt,basic_direct,basic,direct,OPP-115,26.7,0.1351,0.9642857142857143,0.9642857142857143,0.7692307692307693,0.2051282051282051,0.0,0.03571428571428571,0.877793923286455
S235,37d0f40b-1070-44ad-827f-3a64b9090997,OPP06,gpt,basic_role_guided,basic,role_guided,OPP-115,28.55,0.1466,1.0,1.0,0.7435897435897436,0.1794871794871795,0.0,0.0,0.8649101202134732
S163,d1bc964f-1eee-4c2f-821f-cb55ebf18e89,OPP06,gpt,basic_structured,basic,structured,OPP-115,23.78,0.152,1.0,1.0,0.8461538461538461,0.1025641025641025,0.0,0.0,0.8789033026530825
S439,c7d3f45c-fc8e-4aac-9eba-45d49414b955,OPP06,gpt,safety_focused_direct,safety_focused,direct,OPP-115,25.12,0.2426,0.9777777777777777,0.9888888888888889,0.9487179487179488,0.0256410256410256,0.022222222222222223,0.0,0.9091416464911567
S470,4483c763-7ca7-4b78-a699-81eb4ae72399,OPP06,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,26.44,0.2159,1.0,1.0,0.935897435897436,0.0512820512820512,0.0,0.0,0.85228909074496
S098,7765c9ae-f9d2-4796-b990-9b166082fc97,OPP06,gpt,safety_focused_structured,safety_focused,structured,OPP-115,26.04,0.2094,1.0,1.0,0.8846153846153846,0.1025641025641025,0.0,0.0,0.9505179941654205
S459,f08a28e8-f3cb-4002-81fa-a360089a63e7,OPP06,llama,basic_direct,basic,direct,OPP-115,15.28,0.0593,1.0,1.0,0.3205128205128205,0.6410256410256411,0.0,0.0,0.9068728522820906
S395,e4eff315-f820-486e-a1fd-702eb1a3279e,OPP06,llama,basic_role_guided,basic,role_guided,OPP-115,28.6,0.0704,0.6666666666666666,0.8333333333333334,0.4743589743589743,0.5128205128205128,0.3333333333333333,0.0,0.8859649568796157
S051,72b0a06f-db8c-45f7-98ad-8615268c73f3,OPP06,llama,basic_structured,basic,structured,OPP-115,20.53,0.0762,0.8125,0.90625,0.3846153846153846,0.6153846153846154,0.1875,0.0,0.9252192415297031
S414,c01dde1b-5c92-4abc-a904-a3b1999b7d87,OPP06,llama,safety_focused_direct,safety_focused,direct,OPP-115,20.79,0.0885,1.0,1.0,0.4615384615384615,0.4358974358974359,0.0,0.0,0.9718306485344382
S115,30d7b038-3b6c-40a4-b522-6aaaa4f9aac6,OPP06,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,28.76,0.0832,1.0,1.0,0.3974358974358974,0.5641025641025641,0.0,0.0,0.9562826156616211
